GEO_ID,tot_hh,hh_white,hh_afram,hh_amerind,hh_asian,hh_nathawaii,hh_mixed,hh_latino,hh_whitenolatino
06037300701,2021,1531,0,0,156,0,186,338,1413
06037300702,2087,1765,0,0,225,0,46,285,1548
06037300800,2744,1979,15,111,309,0,248,530,1775
06037300901,2050,1378,124,0,500,0,32,140,1238
06037300902,762,591,0,0,122,0,16,72,563
06037301000,2018,1507,55,0,188,0,235,320,1259
06037301100,2840,2297,33,47,281,0,121,374,2065
06037301203,1822,1429,37,0,150,0,163,179,1328
06037301204,2169,1427,76,0,457,0,36,413,1229
06037301205,713,631,8,0,52,0,18,49,586
06037301206,1786,1416,52,0,183,0,99,225,1326
06037301300,682,628,0,0,37,0,11,39,606
06037301400,1251,1115,0,0,86,0,26,82,1057
06037301501,570,512,5,0,41,0,6,32,486
06037301502,2394,2001,32,34,114,0,168,273,1866
06037301601,2274,1793,44,0,146,0,72,580,1494
06037301602,1599,957,83,24,110,0,201,618,625
06037301701,1014,724,47,0,133,0,75,159,619
06037301702,2133,1457,93,0,328,0,49,455,1239
06037301801,2402,1581,33,0,492,22,145,425,1315
06037301802,2279,1532,175,0,326,0,118,227,1390
06037301901,1826,1471,24,0,265,0,66,134,1345
06037301902,1017,753,11,0,121,0,11,121,753
06037302002,1761,1267,35,0,248,0,211,244,1190
06037302003,1497,1194,31,0,128,17,120,88,1134
06037302004,1557,1239,42,8,207,0,21,252,1042
06037302102,2318,1586,79,0,400,0,109,523,1247
06037302103,1853,1305,22,41,219,0,155,386,1190
06037302104,1384,890,77,0,253,0,51,402,642
06037302201,1784,1423,36,22,128,16,94,210,1302
06037302202,1960,1447,67,0,228,0,48,439,1207
06037302301,1325,872,23,11,238,0,102,289,725
06037302302,1885,1208,38,9,276,0,93,598,961
06037302401,2692,1955,122,0,390,0,9,670,1489
06037302503,1443,1008,0,0,166,0,14,428,823
06037302504,1371,951,24,0,133,0,90,409,738
06037302505,1481,1104,24,21,174,0,63,368,903
06037302506,1230,940,12,0,150,0,58,286,745
06037310100,2000,1555,49,18,230,0,104,170,1470
06037310201,2050,1459,0,20,181,0,110,387,1327
06037310202,1890,1548,56,0,128,0,74,118,1514
06037310300,1131,875,0,0,117,0,139,99,844
06037310400,1249,1023,8,4,60,0,120,235,840
06037310501,1599,939,114,13,151,0,222,760,554
06037310601,2436,1413,306,37,241,0,190,479,1229
06037310602,1151,837,13,3,154,0,54,136,795
06037310701,1141,1003,0,0,57,0,51,138,919
06037310703,1903,1666,0,0,157,0,41,213,1464
06037310704,2225,1731,25,5,196,0,157,317,1520
06037310705,1368,909,71,0,236,0,84,73,862
06037310800,2327,1882,64,0,199,0,122,349,1679
06037310900,2495,1676,65,32,339,0,176,568,1467
06037311000,1493,1004,8,30,166,0,175,426,846
06037311100,1524,1048,0,0,260,0,133,420,844
06037311200,1348,1103,52,4,85,0,58,217,955
06037311300,1639,1178,24,0,150,0,249,430,923
06037311400,986,814,23,6,100,0,31,144,713
06037311500,2365,1789,34,42,249,0,199,332,1550
06037311601,865,806,0,0,25,0,34,146,660
06037311602,2420,1604,146,0,385,0,205,315,1429
06037311700,2783,1986,129,17,249,0,295,557,1778
06037311801,1334,1022,20,26,127,0,36,329,807
06037311802,1635,1070,87,0,215,0,45,644,664
06037320101,1008,536,76,42,34,0,97,797,112
06037320102,917,487,0,0,37,0,7,864,35
06037320201,1144,665,42,0,10,0,112,963,103
06037320202,1412,780,0,25,13,0,231,1279,120
06037320300,1936,981,8,43,27,0,236,1808,85
06037400205,839,454,60,0,206,0,47,125,399
06037400206,1781,1211,54,0,270,17,55,363,1059
06037400207,1474,1139,37,29,186,0,47,325,908
06037400208,490,373,0,0,67,0,16,88,319
06037400209,1620,1150,128,19,106,0,161,284,1048
06037400304,2777,1691,34,17,485,85,321,811,1188
06037400402,1328,962,44,0,172,0,104,231,870
06037400403,1386,914,85,11,106,0,173,479,711
06037400404,1394,1165,0,9,142,0,46,164,1010
06037400501,683,508,4,0,100,14,38,79,471
06037400602,1356,782,16,5,94,0,224,969,277
06037400603,1744,939,84,24,268,26,237,713,628
06037400605,2221,886,65,6,797,0,298,743,629
06037400801,1941,1244,18,0,360,0,196,578,948
06037401001,966,704,0,0,98,0,99,144,637
06037401002,1615,1069,83,0,94,8,121,455,908
06037401101,1903,1285,45,11,152,0,249,750,884
06037401102,1299,849,22,11,138,0,179,423,661
06037401201,1055,645,15,24,79,18,170,373,565
06037401202,1361,1032,9,4,159,0,77,448,719
06037401203,1599,1012,51,28,224,0,87,513,771
06037401303,783,445,8,25,181,0,66,233,346
06037401304,1850,1072,27,12,388,0,231,490,906
06037401311,2299,1538,84,20,171,0,388,787,1170
06037401312,1802,1022,34,0,360,0,245,508,726
06037401500,1779,1066,33,16,155,8,249,808,737
06037401601,2301,1811,61,23,126,0,110,668,1378
06037401602,2190,1435,163,0,139,0,271,771,1068
06037401705,927,632,61,18,44,0,110,236,517
06037401706,1597,756,98,10,202,0,177,734,534
06037401707,2737,1389,168,55,372,0,247,1187,904
06037401801,1564,969,23,0,358,0,169,268,874
06037401802,1351,718,151,16,100,0,296,214,667
06037401901,97,50,5,0,4,5,16,33,46
06037401902,2935,2292,122,19,198,0,63,438,2143
06037402001,1354,639,160,0,242,0,222,421,455
06037402002,1619,1013,128,19,138,0,215,409,896
06037402101,1070,277,119,22,136,0,178,723,69
06037402102,1290,490,160,11,188,0,115,800,132
06037402200,2125,922,198,0,237,0,327,1142,533
06037402301,1397,636,12,49,72,0,163,1111,194
06037402303,1068,415,14,27,73,0,167,783,161
06037402304,1025,306,30,50,65,0,107,854,47
06037402403,1111,377,72,37,82,0,96,714,237
06037402404,4,4,0,0,0,0,0,4,0
06037402405,557,238,65,18,15,0,53,451,8
06037402406,1297,533,89,0,123,0,120,840,245
06037402501,1358,501,131,10,136,0,51,1041,100
06037402503,1113,378,75,0,255,0,62,717,66
06037402504,785,193,26,32,241,0,51,462,56
06037402601,772,287,0,0,53,0,122,536,159
06037402602,1887,759,79,86,279,0,464,1066,359
06037402702,1425,712,130,71,43,0,114,1134,110
06037402703,1348,333,179,10,176,16,296,850,118
06037402705,896,364,52,6,45,0,112,636,152
06037402706,973,329,70,34,91,0,185,671,134
06037402801,1167,390,0,87,67,0,64,1026,47
06037402803,730,191,31,20,55,0,80,641,10
06037402804,990,195,64,34,87,0,131,782,31
06037402902,1713,539,86,22,301,0,190,1125,201
06037402903,959,313,82,4,202,0,58,620,71
06037402904,877,255,50,11,31,0,163,720,48
06037403000,1630,585,123,95,69,0,204,1223,132
06037403305,679,104,0,0,522,0,23,73,73
06037403316,2582,920,140,17,1258,0,128,435,663
06037403317,1670,598,88,12,565,0,275,492,440
06037403318,2044,866,232,0,684,0,192,662,453
06037403319,1666,412,72,0,780,17,216,419,214
06037403320,1600,306,82,0,1136,0,68,116,242
06037403321,1733,658,41,0,798,0,106,340,448
06037403323,1715,323,92,0,1171,8,53,174,270
06037403324,2190,269,101,82,1646,0,45,180,155
06037403325,1546,378,44,0,1015,16,47,210,233
06037403326,669,174,29,10,360,4,61,172,99
06037403327,827,383,12,8,271,0,87,307,204
06037403328,1719,534,2,14,1025,0,30,291,383
06037403401,1445,389,77,0,850,0,18,288,248
06037403402,988,220,21,9,629,15,24,130,171
06037403403,1667,130,74,10,1185,11,63,251,95
06037403404,644,156,51,0,418,0,16,80,105
06037403407,650,84,16,0,541,0,0,43,54
06037403408,1997,304,77,0,1513,0,71,178,203
06037403409,1272,410,1,5,675,10,41,270,301
06037403500,527,236,27,0,192,0,41,67,215
06037403601,2194,1021,51,94,336,0,216,1091,683
06037403702,1265,844,39,0,179,7,141,429,597
06037403703,1488,923,55,0,204,0,124,527,698
06037403721,1771,942,138,43,225,0,229,911,490
06037403722,1688,974,101,14,230,0,96,890,458
06037403801,2103,799,259,91,360,0,256,965,437
06037403802,2164,1305,79,13,215,54,179,1096,705
06037403901,895,650,4,14,95,2,90,332,408
06037403902,1519,928,59,9,159,0,157,638,634
06037404000,1329,630,60,58,183,0,128,716,369
06037404100,1447,648,26,9,165,0,162,1103,106
06037404201,944,551,29,0,73,0,103,620,214
06037404203,821,404,48,17,81,0,68,544,154
06037404301,1415,656,66,21,39,0,159,1148,137
06037404302,610,305,5,0,51,0,88,400,127
06037404401,1013,415,31,37,49,4,211,782,156
06037404402,1174,422,19,19,149,0,325,907,69
06037404501,716,206,5,12,71,0,150,582,37
06037404503,816,312,62,0,151,0,165,480,102
06037404504,1345,541,55,39,243,0,170,877,151
06037404600,416,215,0,10,1,5,62,370,38
06037404701,1287,378,0,66,253,0,251,916,79
06037404702,1359,394,30,0,453,0,223,828,48
06037404703,711,213,23,0,108,0,69,576,11
06037404804,1061,379,5,34,293,0,165,740,23
06037404805,728,286,0,0,316,0,75,383,29
06037404806,1495,466,32,79,280,25,201,1071,80
06037404901,1331,357,9,49,328,0,180,914,45
06037404902,865,208,0,16,327,0,125,511,27
06037404903,618,194,8,34,199,0,95,364,47
06037405001,1329,440,33,51,232,0,242,1008,28
06037405002,707,168,2,17,90,0,184,590,20
06037405101,1239,332,0,37,373,8,316,826,21
06037405102,1390,364,33,34,431,0,272,865,61
06037405201,1398,563,17,26,261,0,213,1065,39
06037405202,1144,451,14,22,243,19,199,832,36
06037405203,683,215,14,8,201,0,78,386,90
06037405301,957,363,44,28,187,6,81,520,218
06037405302,1579,633,98,45,297,0,236,985,241
06037405400,1250,547,34,0,145,11,277,886,172
06037405500,1854,663,51,68,429,0,203,992,327
06037405600,1677,695,115,22,292,0,273,950,320
06037405701,1104,539,49,0,236,0,114,596,214
06037405702,1562,723,31,21,278,0,222,1026,221
06037405800,1748,815,56,9,325,0,212,869,421
06037405900,1302,709,29,0,155,0,105,759,338
06037406000,1505,775,80,0,180,22,216,794,401
06037406101,1223,726,30,52,125,0,181,677,371
06037406103,2821,1466,188,40,199,0,273,1691,593
06037406201,1258,563,77,6,226,0,153,773,167
06037406300,1845,597,46,156,600,8,120,522,402
06037406413,2055,735,84,11,519,0,271,956,443
06037406500,1917,536,91,0,604,0,194,926,315
06037406601,1432,606,142,0,351,11,45,575,348
06037406602,1274,398,8,33,249,0,87,806,189
06037406701,913,166,130,9,187,0,118,530,61
06037406702,1962,671,47,9,617,8,100,905,392
06037406801,1277,531,6,5,304,0,96,731,233
06037406903,2082,714,92,12,348,18,280,1495,91
06037407001,1238,476,16,7,103,0,104,1038,81
06037407002,699,289,10,0,87,0,22,573,29
06037407101,1114,463,0,28,75,0,44,979,60
06037407102,1300,321,11,77,158,0,33,1088,20
06037407201,836,338,0,6,115,0,66,605,103
06037407202,761,254,0,161,83,0,14,501,60
06037407301,928,404,18,0,148,0,62,659,103
06037407302,817,380,18,13,86,9,83,644,21
06037407400,538,118,22,5,145,0,89,301,30
06037407501,981,310,28,4,214,0,75,683,61
06037407502,812,257,20,13,88,0,70,623,73
06037407601,1043,248,93,11,168,15,47,717,50
06037407602,1036,267,51,0,158,7,162,769,51
06037407701,1060,317,17,24,255,0,83,754,34
06037407702,1762,599,21,56,473,0,139,1162,52
06037407801,1014,370,43,9,234,0,49,602,109
06037407802,741,253,17,25,142,6,39,512,60
06037407901,885,331,20,10,163,14,93,590,69
06037407902,524,128,0,32,250,0,15,240,34
06037408003,1195,317,90,4,487,0,83,504,109
06037408004,835,234,124,0,254,0,71,344,102
06037408005,1673,455,96,0,704,0,179,500,271
06037408006,1020,189,18,0,633,0,37,315,52
06037408133,1631,319,116,28,619,0,172,688,101
06037408134,845,248,9,0,465,0,48,218,126
06037408135,1331,225,36,0,850,0,58,445,122
06037408136,975,212,105,31,388,0,93,348,94
06037408137,1396,303,121,0,600,31,96,517,101
06037408138,1232,472,9,0,72,0,160,1035,147
06037408139,860,298,0,0,85,0,87,759,11
06037408140,817,197,6,0,73,0,29,728,11
06037408141,974,230,8,11,174,0,11,744,52
06037408212,1392,212,45,0,824,0,60,407,129
06037408213,1740,277,23,27,1114,63,47,351,156
06037408301,1507,426,11,0,167,0,140,1274,47
06037408302,1032,360,37,4,129,0,129,759,107
06037408303,1258,425,10,0,190,0,246,932,125
06037408401,1241,432,6,8,317,0,60,720,204
06037408402,1933,978,0,45,455,0,108,849,615
06037408503,1976,670,46,9,877,4,196,644,329
06037408504,1444,398,10,35,486,0,146,747,164
06037408505,713,238,23,5,326,4,64,263,92
06037408623,974,281,46,0,533,0,40,216,148
06037408624,1016,233,0,16,693,0,9,232,91
06037408625,1217,422,0,0,616,0,46,345,240
06037408626,1378,157,24,0,1123,0,19,123,99
06037408627,859,187,18,0,568,0,3,169,101
06037408628,1831,262,11,9,1330,0,47,354,98
06037408629,899,266,10,18,516,0,15,195,149
06037408631,1472,410,0,29,597,0,207,717,122
06037408703,1776,171,18,11,1399,0,73,263,109
06037408705,1851,308,0,0,1259,0,58,320,226
06037408707,2127,397,18,24,1537,0,76,239,290
06037408722,1241,234,0,34,671,24,105,358,158
06037408724,1558,82,34,0,691,0,50,786,28
06037408725,1918,377,19,0,1201,0,180,452,214
06037408800,1691,610,325,0,170,0,197,848,288
06037408900,2381,1576,72,19,232,0,393,713,1286
06037409000,2193,632,108,14,200,0,646,1500,330
06037409100,1385,456,11,17,462,8,111,724,151
06037430003,1688,1014,26,52,361,0,88,446,781
06037430004,1049,672,8,0,204,0,73,368,469
06037430005,1339,699,125,16,334,0,32,577,308
06037430101,1897,1046,135,0,333,0,197,711,628
06037430102,1310,421,62,20,184,0,206,856,157
06037430200,428,294,7,0,109,0,13,25,287
06037430301,1644,1269,42,8,171,0,108,354,1054
06037430302,2189,1577,0,23,182,34,247,268,1510
06037430400,1439,522,0,24,855,0,30,111,443
06037430501,1859,1325,124,0,255,0,96,191,1191
06037430502,3102,2535,10,16,393,0,102,382,2256
06037430600,1400,492,14,0,686,0,129,100,471
06037430701,1835,897,46,0,753,0,52,275,761
06037430721,1278,333,32,0,843,0,40,138,247
06037430723,1873,653,39,0,891,0,208,385,524
06037430724,1900,629,47,0,892,40,76,427,524
06037430801,2213,611,129,0,1191,45,160,329,452
06037430802,1309,398,0,7,863,0,33,121,325
06037430803,1833,576,0,14,1084,0,41,221,467
06037430901,1552,816,150,0,283,0,168,564,498
06037430902,1788,793,106,0,499,0,208,602,557
06037431002,1208,785,59,0,153,22,142,361,589
06037431003,1493,880,42,0,175,0,285,566,665
06037431004,1213,808,14,0,182,0,53,490,498
06037431100,2220,866,306,68,340,32,134,1014,444
06037431200,1492,569,111,16,176,0,176,958,239
06037431300,848,472,11,4,158,15,103,305,335
06037431400,1284,438,2,10,568,20,136,373,307
06037431501,1563,514,5,25,655,0,157,449,395
06037431502,1397,535,0,0,626,0,126,340,378
06037431600,1338,353,0,10,900,0,56,74,333
06037431701,2051,486,11,0,1387,0,0,233,434
06037431800,1793,701,43,26,939,0,84,155,563
06037431900,1361,426,0,0,839,16,60,171,335
06037432001,616,27,0,20,530,0,5,34,27
06037432002,1868,610,0,0,1015,15,115,340,470
06037432101,1404,393,0,0,841,0,121,181,286
06037432102,1737,432,39,0,1174,0,24,218,298
06037432201,1328,157,0,0,955,0,87,173,138
06037432202,1069,203,8,34,593,0,15,375,114
06037432300,1092,373,0,31,354,31,197,481,198
06037432401,1000,352,17,12,405,0,93,553,41
06037432402,1530,406,0,9,506,0,275,980,44
06037432501,1379,479,0,5,618,0,22,572,176
06037432502,901,160,0,42,383,0,180,455,45
06037432601,1826,541,31,52,661,0,305,958,113
06037432602,1093,227,0,0,518,0,96,516,53
06037432700,1416,465,0,0,387,8,214,955,66
06037432801,822,136,0,12,432,0,60,386,4
06037432802,1401,430,0,81,348,0,206,952,101
06037432901,1129,122,8,0,738,0,98,275,44
06037432902,813,121,8,19,437,0,19,309,38
06037433103,1840,388,0,17,899,30,56,793,106
06037433200,1627,365,7,0,560,23,140,905,118
06037433302,457,121,0,0,113,0,4,320,24
06037433304,1108,276,10,37,397,0,174,684,17
06037433305,1256,235,9,53,382,20,199,774,23
06037433306,827,170,0,25,327,14,153,492,0
