GEO_ID,NAME,Gross Rent
06037106111,"Census Tract 1061.11, Los Angeles County, California",2258
06037106112,"Census Tract 1061.12, Los Angeles County, California",2456
06037106113,"Census Tract 1061.13, Los Angeles County, California",2083
06037106114,"Census Tract 1061.14, Los Angeles County, California",1633
06037106403,"Census Tract 1064.03, Los Angeles County, California",2027
06037106405,"Census Tract 1064.05, Los Angeles County, California",1517
06037106406,"Census Tract 1064.06, Los Angeles County, California",2133
06037106407,"Census Tract 1064.07, Los Angeles County, California",1718
06037106408,"Census Tract 1064.08, Los Angeles County, California",1655
06037106510,"Census Tract 1065.10, Los Angeles County, California",2122
06037106520,"Census Tract 1065.20, Los Angeles County, California",1861
06037106603,"Census Tract 1066.03, Los Angeles County, California","3,500+"
06037106604,"Census Tract 1066.04, Los Angeles County, California",1492
06037106641,"Census Tract 1066.41, Los Angeles County, California",3000
06037106642,"Census Tract 1066.42, Los Angeles County, California",2069
06037106643,"Census Tract 1066.43, Los Angeles County, California",2354
06037106645,"Census Tract 1066.45, Los Angeles County, California","3,500+"
06037106646,"Census Tract 1066.46, Los Angeles County, California",1438
06037106648,"Census Tract 1066.48, Los Angeles County, California",1245
06037106649,"Census Tract 1066.49, Los Angeles County, California",2625
06037107010,"Census Tract 1070.10, Los Angeles County, California",1723
06037107020,"Census Tract 1070.20, Los Angeles County, California",1841
06037108101,"Census Tract 1081.01, Los Angeles County, California",3267
06037108102,"Census Tract 1081.02, Los Angeles County, California",2452
06037108103,"Census Tract 1081.03, Los Angeles County, California","3,500+"
06037108104,"Census Tract 1081.04, Los Angeles County, California","3,500+"
06037108202,"Census Tract 1082.02, Los Angeles County, California",2127
06037108203,"Census Tract 1082.03, Los Angeles County, California","3,500+"
06037108204,"Census Tract 1082.04, Los Angeles County, California",-
06037109100,"Census Tract 1091, Los Angeles County, California",2068
06037109200,"Census Tract 1092, Los Angeles County, California",2625
06037109300,"Census Tract 1093, Los Angeles County, California",2696
06037109400,"Census Tract 1094, Los Angeles County, California",1918
06037109500,"Census Tract 1095, Los Angeles County, California",1785
06037109601,"Census Tract 1096.01, Los Angeles County, California",3084
06037109603,"Census Tract 1096.03, Los Angeles County, California",1736
06037109604,"Census Tract 1096.04, Los Angeles County, California",1216
06037109700,"Census Tract 1097, Los Angeles County, California",2407
06037109800,"Census Tract 1098, Los Angeles County, California",2168
06037111100,"Census Tract 1111, Los Angeles County, California",2045
06037111201,"Census Tract 1112.01, Los Angeles County, California",2145
06037111202,"Census Tract 1112.02, Los Angeles County, California",2513
06037111204,"Census Tract 1112.04, Los Angeles County, California","3,500+"
06037111205,"Census Tract 1112.05, Los Angeles County, California",2191
06037111206,"Census Tract 1112.06, Los Angeles County, California","3,500+"
06037111302,"Census Tract 1113.02, Los Angeles County, California",1833
06037111303,"Census Tract 1113.03, Los Angeles County, California",2357
06037111304,"Census Tract 1113.04, Los Angeles County, California",1556
06037111401,"Census Tract 1114.01, Los Angeles County, California",2296
06037111402,"Census Tract 1114.02, Los Angeles County, California",1502
06037113101,"Census Tract 1131.01, Los Angeles County, California",3109
06037113102,"Census Tract 1131.02, Los Angeles County, California","3,500+"
06037113211,"Census Tract 1132.11, Los Angeles County, California",2338
06037113212,"Census Tract 1132.12, Los Angeles County, California",2071
06037113213,"Census Tract 1132.13, Los Angeles County, California",1981
06037113231,"Census Tract 1132.31, Los Angeles County, California",2759
06037113232,"Census Tract 1132.32, Los Angeles County, California",3128
06037113234,"Census Tract 1132.34, Los Angeles County, California",1599
06037113235,"Census Tract 1132.35, Los Angeles County, California",2355
06037113237,"Census Tract 1132.37, Los Angeles County, California",2167
06037113238,"Census Tract 1132.38, Los Angeles County, California",1541
06037113239,"Census Tract 1132.39, Los Angeles County, California",1865
06037113301,"Census Tract 1133.01, Los Angeles County, California",2739
06037113303,"Census Tract 1133.03, Los Angeles County, California",2641
06037113322,"Census Tract 1133.22, Los Angeles County, California",2137
06037113323,"Census Tract 1133.23, Los Angeles County, California",1814
06037113324,"Census Tract 1133.24, Los Angeles County, California",1707
06037113423,"Census Tract 1134.23, Los Angeles County, California",2000
06037113424,"Census Tract 1134.24, Los Angeles County, California",2263
06037113425,"Census Tract 1134.25, Los Angeles County, California",1882
06037113426,"Census Tract 1134.26, Los Angeles County, California",1950
06037113427,"Census Tract 1134.27, Los Angeles County, California",1549
06037113428,"Census Tract 1134.28, Los Angeles County, California",2920
06037115101,"Census Tract 1151.01, Los Angeles County, California",-
06037115103,"Census Tract 1151.03, Los Angeles County, California",-
06037115104,"Census Tract 1151.04, Los Angeles County, California",1706
06037115202,"Census Tract 1152.02, Los Angeles County, California",2058
06037115203,"Census Tract 1152.03, Los Angeles County, California",1568
06037115204,"Census Tract 1152.04, Los Angeles County, California",1772
06037115301,"Census Tract 1153.01, Los Angeles County, California",2132
06037115302,"Census Tract 1153.02, Los Angeles County, California",1606
06037115401,"Census Tract 1154.01, Los Angeles County, California",1607
06037115403,"Census Tract 1154.03, Los Angeles County, California",1423
06037115404,"Census Tract 1154.04, Los Angeles County, California",1927
06037117101,"Census Tract 1171.01, Los Angeles County, California",1467
06037117102,"Census Tract 1171.02, Los Angeles County, California",2122
06037117201,"Census Tract 1172.01, Los Angeles County, California",1410
06037117202,"Census Tract 1172.02, Los Angeles County, California",-
06037117301,"Census Tract 1173.01, Los Angeles County, California",3220
06037117302,"Census Tract 1173.02, Los Angeles County, California",1814
06037117303,"Census Tract 1173.03, Los Angeles County, California",1865
06037117404,"Census Tract 1174.04, Los Angeles County, California",2773
06037117405,"Census Tract 1174.05, Los Angeles County, California",1493
06037117407,"Census Tract 1174.07, Los Angeles County, California",1414
06037117408,"Census Tract 1174.08, Los Angeles County, California",1424
06037117510,"Census Tract 1175.10, Los Angeles County, California",1831
06037117520,"Census Tract 1175.20, Los Angeles County, California",1447
06037117530,"Census Tract 1175.30, Los Angeles County, California",1408
06037119001,"Census Tract 1190.01, Los Angeles County, California",2485
06037119003,"Census Tract 1190.03, Los Angeles County, California",2004
06037119004,"Census Tract 1190.04, Los Angeles County, California",1364
06037119201,"Census Tract 1192.01, Los Angeles County, California",2472
