OBJECTID_12,Join_Count,TARGET_FID,CT20,LABEL,NAME,SUP_NAME,DIST_SUP,CITYNAME_ALF,NAME_1,JURISDICTION,AREA_NUM,AREA_NAME,Shape__Area,Shape__Length
2125,1,2125,603004,6030.04,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,GARDENA,,INCORPORATED CITY,11,South Bay Planning Area,328214.59765625,3020.32845327718
2126,1,2126,603005,6030.05,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,GARDENA,,INCORPORATED CITY,11,South Bay Planning Area,946939.609375,3892.16063167939
2127,1,2127,603006,6030.06,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,GARDENA,,INCORPORATED CITY,11,South Bay Planning Area,1000320.58984375,4029.90355717418
2128,1,2128,603007,6030.07,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,GARDENA,,INCORPORATED CITY,11,South Bay Planning Area,975463.15234375,5264.75041404571
2129,1,2129,603008,6030.08,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,GARDENA,,INCORPORATED CITY,11,South Bay Planning Area,681283.58203125,3979.71557276908
2130,1,2130,603101,6031.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,GARDENA,,INCORPORATED CITY,11,South Bay Planning Area,1282486.671875,4653.7682211812
2131,1,2131,603102,6031.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,GARDENA,,INCORPORATED CITY,11,South Bay Planning Area,1084677.5,4181.46902348601
2132,2,2132,603200,6032.00,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,GARDENA,,INCORPORATED CITY,11,South Bay Planning Area,1656465.9765625,8059.63587704742
2133,2,2133,603301,6033.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,GARDENA,,INCORPORATED CITY,11,South Bay Planning Area,1417981.74609375,5203.9847282368
2134,2,2134,603302,6033.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,GARDENA,,INCORPORATED CITY,11,South Bay Planning Area,1650938.3671875,5613.47291770525
2135,2,2135,603400,6034.00,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,GARDENA,,INCORPORATED CITY,11,South Bay Planning Area,1650478.28515625,5739.45469762137
2136,1,2136,603500,6035.00,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,GARDENA,,INCORPORATED CITY,11,South Bay Planning Area,1157749.91796875,4808.96460424682
2137,2,2137,603600,6036.00,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,GARDENA,,INCORPORATED CITY,11,South Bay Planning Area,1363974.33984375,4817.83922925186
2138,2,2138,603702,6037.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,,ALONDRA PARK,UNINCORPORATED AREA,11,South Bay Planning Area,3794005.55859375,8044.13532137359
2139,1,2139,603703,6037.03,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,HAWTHORNE,,INCORPORATED CITY,11,South Bay Planning Area,948717.453125,3999.06759424327
2140,1,2140,603705,6037.05,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,HAWTHORNE,,INCORPORATED CITY,11,South Bay Planning Area,394234.23046875,2828.39211770176
2141,1,2141,603706,6037.06,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,,ALONDRA PARK,UNINCORPORATED AREA,11,South Bay Planning Area,544207.43359375,3763.6874396365
2142,1,2142,603801,6038.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,LAWNDALE,,INCORPORATED CITY,11,South Bay Planning Area,970060.515625,3987.03544943818
2143,1,2143,603802,6038.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,LAWNDALE,,INCORPORATED CITY,11,South Bay Planning Area,917805.515625,3867.3821955594
2144,1,2144,603901,6039.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,LAWNDALE,,INCORPORATED CITY,11,South Bay Planning Area,1070531.46875,5781.87454961053
2145,1,2145,603902,6039.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,LAWNDALE,,INCORPORATED CITY,11,South Bay Planning Area,1093191.03125,4428.4958815014
2146,1,2146,604001,6040.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,LAWNDALE,,INCORPORATED CITY,11,South Bay Planning Area,958678.6796875,3930.79442470914
2147,1,2147,604002,6040.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,LAWNDALE,,INCORPORATED CITY,11,South Bay Planning Area,946381.3984375,3809.05531132154
2148,1,2148,604101,6041.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,LAWNDALE,,INCORPORATED CITY,11,South Bay Planning Area,698659.6171875,3536.64414326344
2149,2,2149,604102,6041.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,LAWNDALE,,INCORPORATED CITY,11,South Bay Planning Area,775934.2421875,4452.48522985784
2150,1,2150,604200,6042.00,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,INGLEWOOD,,INCORPORATED CITY,11,South Bay Planning Area,1831388.41015625,6581.13069010711
2152,1,2152,620001,6200.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,EL SEGUNDO,,INCORPORATED CITY,5,South Bay Planning Area,1723382.97265625,5408.60501096893
2153,1,2153,620002,6200.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,EL SEGUNDO,,INCORPORATED CITY,11,South Bay Planning Area,1724900.57421875,5815.80799102838
2154,1,2154,620101,6201.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,EL SEGUNDO,,INCORPORATED CITY,5,South Bay Planning Area,1972749.73828125,5934.32975055202
2155,1,2155,620102,6201.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,EL SEGUNDO,,INCORPORATED CITY,5,South Bay Planning Area,1269443.46484375,5884.15788043636
2156,1,2156,620201,6202.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,MANHATTAN BEACH,,INCORPORATED CITY,11,South Bay Planning Area,600748.375,4009.28381969468
2157,1,2157,620301,6203.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,MANHATTAN BEACH,,INCORPORATED CITY,11,South Bay Planning Area,1511474.5234375,5224.84219325723
2158,1,2158,620303,6203.03,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,MANHATTAN BEACH,,INCORPORATED CITY,11,South Bay Planning Area,1684998.6328125,5862.12532686788
