TractNum,Location,Total Unsheltered,Total Sheltered,Total Population
133100,Tarzana NC,13.05,0,13.05
134001,Winnetka NC,19.068,0,19.068
134002,Winnetka NC,13.696,0,13.696
134101,Winnetka NC,2.694,0,2.694
134103,Winnetka NC,1.576,0,1.576
134104,Winnetka NC,3.949,0,3.949
134201,Canoga Park NC,19.8,0,19.8
134302,West Hills NC,0,0,0
134303,Canoga Park NC,10.607,0,10.607
134304,Canoga Park NC,0,0,0
134305,Canoga Park NC,5.816,0,5.816
134306,Canoga Park NC,11.517,0,11.517
134421,West Hills NC,0,0,0
134422,West Hills NC,2.694,0,2.694
134423,West Hills NC,0,0,0
134424,West Hills NC,0,0,0
134520,Canoga Park NC,42.814,0,42.814
134521,Canoga Park NC,13.813,0,13.813
134522,Canoga Park NC,2,0,2
134710,Winnetka NC,3.388,0,3.388
134720,Winnetka NC,12.653,0,12.653
134800,Winnetka NC,14.598,0,14.598
134901,Tarzana NC,25.171,0,25.171
134903,Woodland Hills-Warner Center NC,4.218,0,4.218
134904,Winnetka NC,4.413,0,4.413
134905,Woodland Hills-Warner Center NC,22.519,0,22.519
135102,West Hills NC,31.371,0,31.371
135111,Woodland Hills-Warner Center NC,0,0,0
135113,Woodland Hills-Warner Center NC,0,0,0
135114,Woodland Hills-Warner Center NC,5.27,0,5.27
135201,West Hills NC,13.015,0,13.015
135202,West Hills NC,3.425,0,3.425
135203,West Hills NC,4.964,0,4.964
137000,Woodland Hills-Warner Center NC,0,0,0
137103,Woodland Hills-Warner Center NC,5.719,0,5.719
137104,Woodland Hills-Warner Center NC,0,0,0
137201,Woodland Hills-Warner Center NC,24.742,0,24.742
137301,Woodland Hills-Warner Center NC,0,0,0
137302,Woodland Hills-Warner Center NC,1.694,0,1.694
137401,Woodland Hills-Warner Center NC,10.819,0,10.819
137402,Woodland Hills-Warner Center NC,1.523,0,1.523
137501,Woodland Hills-Warner Center NC,10.57,0,10.57
137502,Woodland Hills-Warner Center NC,7.085,0,7.085
137504,Woodland Hills-Warner Center NC,0,0,0
138000,Woodland Hills-Warner Center NC,2,0,2
139001,Encino NC,3.119,0,3.119
139200,Encino NC,0,0,0
139301,Tarzana NC,4.315,0,4.315
139302,Tarzana NC,10.448,0,10.448
139303,Tarzana NC,1.694,0,1.694
139401,Tarzana NC,9.696,0,9.696
139402,Tarzana NC,0,0,0
139502,Encino NC,3.119,0,3.119
139503,Encino NC,0,0,0
139504,Encino NC,11.264,0,11.264
139600,Encino NC,11.488,0,11.488
139701,Encino NC,5.119,0,5.119
139702,Encino NC,23.425,0,23.425
139703,Encino NC,2.89,0,2.89
139801,Tarzana NC,0,0,0
139802,Tarzana NC,0,0,0
141101,Sherman Oaks NC,0,0,0
141102,Sherman Oaks NC,2,0,2
141201,Sherman Oaks NC,33.714,0,33.714
141202,Sherman Oaks NC,2,0,2
141302,Sherman Oaks NC,4.851,0,4.851
141303,Sherman Oaks NC,3.047,0,3.047
141304,Sherman Oaks NC,7.719,0,7.719
141400,Encino NC,8.388,0,8.388
141500,Encino NC,1,0,1
141600,Sherman Oaks NC,0,0,0
141700,Sherman Oaks NC,0,0,0
143100,Greater Toluca Lake NC,7.741,0,7.741
143200,Studio City NC,26.807,0,26.807
143300,Studio City NC,15.904,0,15.904
143400,Studio City NC,9.311,0,9.311
143500,Studio City NC,6.57,0,6.57
143602,Studio City NC,7.107,0,7.107
143603,Studio City NC,8.085,0,8.085
143604,Studio City NC,19.689,0,19.689
143700,Hollywood Hills West NC,8,0,8
143800,Studio City NC,13.525,0,13.525
143901,Studio City NC,22.094,0,22.094
143902,Studio City NC,7,0,7
181000,Eagle Rock NC,34.051,10,44.051
181300,Eagle Rock NC,21.319,0,21.319
181400,Eagle Rock NC,12.72,0,12.72
181500,Eagle Rock NC,3.129,0,3.129
181600,Eagle Rock NC,5.36,0,5.36
183101,Historic Highland Park NC,25.396,0,25.396
183103,Historic Highland Park NC,13.052,0,13.052
183104,Historic Highland Park NC,0,0,0
183220,Historic Highland Park NC,0,0,0
183221,Historic Highland Park NC,1.427,0,1.427
183222,Historic Highland Park NC,0,0,0
183300,Historic Highland Park NC,23.32,0,23.32
183401,Historic Highland Park NC,1,0,1
183402,Eagle Rock NC,27.217,0,27.217
183510,Historic Highland Park NC,4.812,0,4.812
183520,Historic Highland Park NC,3.402,0,3.402
183610,Historic Highland Park NC,8.83,0,8.83
183620,Historic Highland Park NC,21.635,0,21.635
183701,Historic Highland Park NC,11.908,0,11.908
183702,Arroyo Seco NC,8.065,0,8.065
183810,Historic Highland Park NC,28.089,0,28.089
183820,Historic Highland Park NC,5.086,0,5.086
185100,Arroyo Seco NC,25.662,0,25.662
185202,Arroyo Seco NC,13.377,0,13.377
185203,Greater Cypress Park NC,9.788,0,9.788
185204,Greater Cypress Park NC,1.958,0,1.958
185310,Greater Cypress Park NC,1.701,0,1.701
185320,Greater Cypress Park NC,40.98,0,40.98
186100,Glassell Park NC,11.233,0,11.233
186201,Eagle Rock NC,14.023,0,14.023
186202,Arroyo Seco NC,5.915,0,5.915
186203,Arroyo Seco NC,0,0,0
186301,Glassell Park NC,2.758,0,2.758
